Price,Address 1,Address 2,Beds,Squarefoot,Full Baths,Half Baths,Lot Size
"$725,000",0 Gateway,"Rock Springs, WY 82901",,,,,
"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,,4,,0.21 Acres
"$396,900",600 Talladega,"Rock Springs, WY 82901",5,,3,,
"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,,3,1,"Under 1/2 Acre, "
"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,,3,,"Under 1/2 Acre, "
"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,,2,,0.27 Acres
"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,,3,,"Under 1/2 Acre, "
"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,,2,,"Under 1/2 Acre, "
"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,,2,,"Under 1/2 Acre, "
"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,,2,,2.02 Acres
"$1,700,000",9339 Sd 26900,"Rocksprings, TX 78880",,,,,
"$1,100,000",RR674P13 Hwy 377,"Rocksprings, TX 78880",,,,,
"$1,080,000",0 Hwy 41,"Rocksprings, TX 78880",,,,,
"$908,350",9339 Sd 26900,"Rocksprings, TX 78880",,,,,
"$905,000",CR450 Hwy 377,"Rocksprings, TX 78880",,,,,
"$695,000",Cr 240 Cr 240,"Rocksprings, TX 78880",,,,,
"$605,000",RR674 Hwy 377,"Rocksprings, TX 78880",,,,,
"$559,805",9770a Sd 26900,"Rocksprings, TX 78880",,,,,
"$504,000",Lot17 CR 2630,"Rocksprings, TX 78880",,,,,
"$410,000","Tr12,16 CR 520","Rocksprings, TX 78880",,,,,
"$299,900",32575 S Shadow Mountain Road,"Black Canyon City, AZ 85324",3,,2,,
"$167,500",32750 S Shangrila Drive,"Black Canyon City, AZ 85324",3,,2,,
"$150,000",0000 Black Canyon Highway,"Black Canyon City, AZ 85324",,,,,5 Acres
"$129,500",34775 S CHOLLA Drive,"Black Canyon City, AZ 85324",3,,2,,
"$129,000",33403 S. HA-WA-SI TERRACE,"BLACK CANYON CITY, AZ 85324",4,,2,,
"$80,000",34263 S Bertha Street,"Black Canyon City, AZ 85324",5,,2,,
"$77,900",33160 S Canyon Road,"Black Canyon City, AZ 85324",3,,2,,
"$70,500",19421 E Todd Evans Road,"Black Canyon City, AZ 85324",3,,2,,
"$70,000",18688 E AGUA Vista,"Black Canyon City, AZ 85324",,,,,0.7 Acres
"$67,500",50600 N Old Black Canyon Road,"Black Canyon City, AZ 85324",,,,,3 Acres
"$54,900",20101 E SQUAW VALLEY Road,"Black Canyon City, AZ 85324",,,,,
"$45,600",33259 S Canyon Road,"Black Canyon City, AZ 85324",3,,1,,
"$40,000",34558 S ROADRUNNER RD,"Black Canyon City, AZ 85324",2,,1,,Under 1/2 Acre
"$30,000",19260 E Scenic Loop Road,"Black Canyon City, AZ 85324",,,,,2.35 Acres
"$29,000",19000 E MAREN Avenue,"Black Canyon City, AZ 85324",,,,,2.05 Acres
"$28,995",19350 E SAGUARO Drive,"Black Canyon City, AZ 85324",,,,,0.73 Acres
"$15,000",20650 E Amethyst Place,"Black Canyon City, AZ 85324",,,,,0.31 Acres
